,User,Text,Timestamp
0,dambachtale_schawale,#elonbuywatercoin @the_bentrepreneur @water.solana,2024-07-10 12:03:26+00:00
1,lifewiththefishers,Man those are ugly 😂,2024-07-11 02:52:05+00:00
2,hamidamjadiii,جاروبرقی 😂,2024-07-11 10:27:38+00:00
3,tyoncybertruck21,🔥🙌,2024-07-12 03:57:56+00:00
4,ariad.ff4,😍😍,2024-07-12 06:33:25+00:00
5,_realomid_,@benyamin_co.ir 🔥,2024-07-12 15:18:47+00:00
6,itz.rhmn,"I mean, some people like this pick up. Some don't, but everybody knows that the 1980 Toyota Pickup is the role model for very pickup after 1980. It is the undestructable and most relaiable Pick Up ever made. Even you, dear reader, know it.",2024-07-13 12:30:50+00:00
7,mattjones_anim_design,These things look unbelievably stupid on the roads!,2024-07-17 15:38:39+00:00
8,jan_michaud,@nemet_amanda these are the cars I tried to explain but couldn’t the other day…,2024-07-17 22:19:17+00:00
9,nemet_amanda,@jan_michaud that’s literally a robot! What the ?! 😳,2024-07-17 23:36:16+00:00
10,xceo_elontes,@klarachavarria you can become a owner of any Tesla model of your choice just message me,2024-07-18 07:28:48+00:00
11,brando_1111_,Car is made from garbage,2024-07-18 13:04:17+00:00
12,ceeeeelmaaaaaaaaa,❤️❤️😍,2024-07-18 21:42:31+00:00
13,oynbogkogy,Co-branding with Transformers 🔥😍,2024-07-19 05:35:13+00:00
14,n_g_lxa,THIS IS THE MOST DISGUSTING THING I EVER SEEN IN MY LIFE BAHHH,2024-07-20 12:07:43+00:00
15,_.urko,,2024-07-20 20:46:58+00:00
16,devender__.06,Buy this car 🙌,2024-07-22 12:20:56+00:00
17,devender__.06,Mujha ye gadi Leni hai kaha milegi 🙌,2024-07-22 12:21:25+00:00
18,mayaraabranches,🔥,2024-07-22 14:27:28+00:00
19,el_pollo_salazar1,🔥🔥🔥,2024-07-22 22:31:27+00:00
20,fortnitepronabbo014,Is the car of fortnite,2024-07-23 09:24:54+00:00
21,jeovamarquesmarques,Tô aqui também..kkkk em todas as empresas desse homem eu tô aqui falando besteira 😂😂😂😂😂😂😂,2024-07-24 00:53:56+00:00
22,eddy_busfield,@charltoncal3,2024-07-24 06:27:03+00:00
23,lina_kina,It’s fantastic car!😍,2024-07-24 15:38:37+00:00
